JPM,,,GS,,,MS,,,C,,,BAC,,,WFC,
Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:
01/04/2016,63.62,,01/04/2016,177.14,,01/04/2016,31.48,,01/04/2016,51.13,,01/04/2016,16.43,,01/04/2016,52.91
01/05/2016,63.73,,01/05/2016,174.09,,01/05/2016,31.28,,01/05/2016,50.86,,01/05/2016,16.43,,01/05/2016,52.89
01/06/2016,62.81,,01/06/2016,169.84,,01/06/2016,30.5,,01/06/2016,50.12,,01/06/2016,16.08,,01/06/2016,51.88
01/07/2016,60.27,,01/07/2016,164.62,,01/07/2016,28.98,,01/07/2016,47.56,,01/07/2016,15.5,,01/07/2016,50.4
01/08/2016,58.92,,01/08/2016,163.94,,01/08/2016,28.38,,01/08/2016,46.13,,01/08/2016,15.2,,01/08/2016,49.56
01/11/2016,58.83,,01/11/2016,165.73,,01/11/2016,28.46,,01/11/2016,46.85,,01/11/2016,15.31,,01/11/2016,50.09
01/12/2016,58.96,,01/12/2016,165.71,,01/12/2016,28.46,,01/12/2016,46.88,,01/12/2016,15.31,,01/12/2016,51.36
1/13/2016,57.34,,1/13/2016,158.99,,1/13/2016,26.89,,1/13/2016,45.19,,1/13/2016,14.9,,1/13/2016,49.73
1/14/2016,58.2,,1/14/2016,161.39,,1/14/2016,27.15,,1/14/2016,45.38,,1/14/2016,14.99,,1/14/2016,50.64
1/15/2016,57.04,,1/15/2016,155.61,,1/15/2016,25.97,,1/15/2016,42.47,,1/15/2016,14.46,,1/15/2016,48.82
1/19/2016,57.01,,1/19/2016,156.82,,1/19/2016,26.26,,1/19/2016,41.94,,1/19/2016,14.24,,1/19/2016,48.21
1/20/2016,55.51,,1/20/2016,153.75,,1/20/2016,25.24,,1/20/2016,40.49,,1/20/2016,13.69,,1/20/2016,47.87
1/21/2016,55.25,,1/21/2016,151.65,,1/21/2016,24.78,,1/21/2016,40.15,,1/21/2016,13.36,,1/21/2016,48.01
1/22/2016,56.95,,1/22/2016,156.86,,1/22/2016,25.61,,1/22/2016,41.06,,1/22/2016,13.56,,1/22/2016,49.02
1/25/2016,55.66,,1/25/2016,151.12,,1/25/2016,24.98,,1/25/2016,39.55,,1/25/2016,12.96,,1/25/2016,47.66
